sample,meta,nominal size,dosefactor,measured size,etch time,etch HF,o2 time
F1,oben,500,1.7,458,10,20,25
F1,oben,500,1.6,465,10,20,25
F1,oben,200,1.6,172,10,20,25
F1,oben,200,1.6,168,10,20,25
F1,oben,200,1.6,184,10,20,25
F1,oben,200,1.6,181,10,20,25
F1,oben,200,1.6,176,10,20,25
F1,oben,200,1.6,177,10,20,25
F1,oben,200,1.6,185,10,20,25
F1,oben,200,1.6,188,10,20,25
F1,oben,100,1.6,66,10,20,25
F1,oben,100,1.6,74,10,20,25
F1,oben,100,1.6,67,10,20,25
F1,oben,100,1.6,81,10,20,25
F1,oben,100,1.6,71,10,20,25
F1,oben,100,1.6,78,10,20,25
F1,oben,100,1.6,74,10,20,25
F1,oben,100,1.6,77,10,20,25
F1,oben,60,1.4,42,10,20,25
F1,oben,60,1.4,37,10,20,25
F1,oben,60,1.4,45,10,20,25
F1,oben,60,1.4,36,10,20,25
F1,oben,60,1.4,44,10,20,25
F1,oben,60,1.4,46,10,20,25
F1,oben,60,1.4,41,10,20,25
F1,oben,60,1.4,47,10,20,25
F1,oben,60,1.4,51,10,20,25
F1,oben,72,1.4,58,10,20,25
F1,oben,72,1.4,50,10,20,25
F1,oben,72,1.4,51,10,20,25
F1,oben,72,1.4,52,10,20,25
F1,oben,72,1.4,51,10,20,25
F1,oben,72,1.4,51,10,20,25
F1,oben,80,1.4,64,10,20,25
F1,oben,80,1.4,67,10,20,25
F1,oben,80,1.4,58,10,20,25
F1,oben,60,1.5,42,10,20,25
F1,oben,60,1.5,33,10,20,25
F1,oben,60,1.5,37,10,20,25
F1,oben,60,1.5,39,10,20,25
F1,oben,72,1.5,59,10,20,25
F1,oben,72,1.5,58,10,20,25
F1,oben,72,1.5,58,10,20,25
F1,oben,80,1.5,64,10,20,25
F1,oben,80,1.5,60,10,20,25
F1,oben,80,1.5,67,10,20,25
F1,unten,500,1.6,468,10,20,25
F1,unten,200,1.6,189,10,20,25
F1,unten,200,1.6,171,10,20,25
F1,unten,200,1.6,178,10,20,25
F1,unten,200,1.6,172,10,20,25
F1,unten,100,1.6,76,10,20,25
F1,unten,100,1.6,70,10,20,25
F1,unten,100,1.6,64,10,20,25
F1,unten,100,1.6,77,10,20,25
F1,unten,200,1.7,168,10,20,25
F1,unten,200,1.7,175,10,20,25
F1,unten,200,1.7,166,10,20,25
F1,unten,200,1.7,163,10,20,25
F1,unten,100,1.7,63,10,20,25
F1,unten,100,1.7,62,10,20,25
F1,unten,100,1.7,51,10,20,25
F1,unten,60,1.4,49,10,20,25
F1,unten,60,1.4,50,10,20,25
F1,unten,72,1.4,58,10,20,25
F1,unten,72,1.4,54,10,20,25
F1,unten,72,1.4,49,10,20,25
F1,unten,80,1.4,64,10,20,25
F1,unten,80,1.4,67,10,20,25
F1,unten,80,1.4,72,10,20,25
F1,unten,60,1.5,38,10,20,25
F1,unten,60,1.5,45,10,20,25
F1,unten,60,1.5,43,10,20,25
F1,unten,72,1.5,40,10,20,25
F1,unten,72,1.5,42,10,20,25
F1,unten,72,1.5,51,10,20,25
F1,unten,80,1.5,50,10,20,25
F1,unten,80,1.5,52,10,20,25
F1,unten,80,1.5,58,10,20,25
E1,oben,500,1.7,461,,,
E1,oben,500,1.7,454,,,
E1,oben,500,1.6,473,,,
E1,oben,200,1.7,189,,,
E1,oben,200,1.7,187,,,
E1,oben,100,1.7,72,,,
E1,oben,100,1.7,72,,,
E1,oben,200,1.7,182,,,
E1,oben,200,1.7,174,,,
E1,oben,100,1.7,67,,,
E1,oben,100,1.7,70,,,
E1,oben,60,1.3,36,,,
E1,oben,60,1.3,29,,,
E1,oben,60,1.3,33,,,
E1,oben,60,1.3,33,,,
E1,oben,60,1.3,34,,,
E1,oben,60,1.3,37,,,
E1,oben,60,1.3,36,,,
E1,oben,72,1.3,51,,,
E1,oben,72,1.3,55,,,
E1,oben,72,1.3,55,,,
E1,oben,72,1.3,43,,,
E1,oben,72,1.3,42,,,
E1,oben,72,1.3,46,,,
E1,oben,72,1.3,43,,,
E1,oben,72,1.3,37,,,
E1,oben,72,1.3,43,,,
E1,oben,80,1.3,50,,,
E1,oben,80,1.3,47,,,
E1,oben,80,1.3,49,,,
E1,oben,80,1.3,55,,,
E1,oben,80,1.3,56,,,
E1,oben,80,1.3,52,,,
E1,oben,80,1.3,55,,,
E1,oben,80,1.3,45,,,
E1,oben,60,1.4,28,,,
E1,oben,60,1.4,21,,,
E1,oben,60,1.4,23,,,
E1,oben,60,1.4,27,,,
E1,oben,60,1.4,32,,,
E1,oben,60,1.4,27,,,
E1,oben,80,1.4,46,,,
E1,oben,80,1.4,52,,,
E1,oben,80,1.4,48,,,
E1,oben,80,1.4,51,,,
E1,oben,80,1.4,49,,,
E1,oben,72,1.4,46,,,
E1,oben,72,1.4,44,,,
E1,oben,72,1.4,47,,,
E1,oben,72,1.4,36,,,
E1,oben,72,1.4,34,,,
E1,oben,60,1.5,16,,,
E1,oben,60,1.5,19,,,
E1,oben,60,1.5,23,,,
E1,oben,72,1.5,44,,,
E1,oben,72,1.5,31,,,
E1,oben,72,1.5,39,,,
E1,oben,80,1.5,42,,,
E1,oben,80,1.5,47,,,
E1,oben,80,1.5,45,,,
E1,unten,500,1.6,476,,,
E1,unten,500,1.6,477,,,
E1,unten,500,1.7,470,,,
E1,unten,500,1.7,459,,,
E1,unten,200,1.7,177,,,
E1,unten,200,1.7,171,,,
E1,unten,100,1.7,61,,,
E1,unten,100,1.7,67,,,
E1,unten,200,1.7,168,,,
E1,unten,200,1.7,169,,,
E1,unten,100,1.7,67,,,
E1,unten,100,1.7,68,,,
E1,unten,200,1.6,172,,,
E1,unten,200,1.6,179,,,
E1,unten,200,1.6,176,,,
E1,unten,200,1.6,173,,,
E1,unten,200,1.6,172,,,
E1,unten,200,1.6,171,,,
E1,unten,100,1.6,82,,,
E1,unten,100,1.6,71,,,
E1,unten,100,1.6,63,,,
E1,unten,100,1.6,65,,,
E1,unten,100,1.6,65,,,
E1,unten,100,1.6,67,,,
E1,unten,80,1.3,55,,,
E1,unten,80,1.3,51,,,
E1,unten,80,1.3,57,,,
E1,unten,80,1.3,52,,,
E1,unten,80,1.3,48,,,
E1,unten,72,1.3,44,,,
E1,unten,72,1.3,47,,,
E1,unten,72,1.3,48,,,
E1,unten,72,1.3,55,,,
E1,unten,72,1.3,48,,,
E1,unten,72,1.3,44,,,
E1,unten,60,1.3,31,,,
E1,unten,60,1.3,32,,,
E1,unten,60,1.3,43,,,
E1,unten,60,1.3,42,,,
E1,unten,60,1.3,33,,,
E1,unten,60,1.4,34,,,
E1,unten,60,1.4,38,,,
E1,unten,60,1.4,39,,,
E1,unten,72,1.4,44,,,
E1,unten,72,1.4,43,,,
E1,unten,72,1.4,43,,,
E1,unten,80,1.4,54,,,
E1,unten,80,1.4,48,,,
E1,unten,80,1.4,47,,,
